delta	v26.4	v26.8	type	symbol
3738	0	3738	T	Supla::Protocol::SuplaSrpc::logSrpcPacket(bool, int, unsigned char const*, unsigned int)
2504	1431	3935	r	javascript
914	0	914	t	(anonymous namespace)::safeCallName(int)
858	0	858	T	Supla::Html::NetworkAddressParameters::send(Supla::WebSender*)
716	0	716	b	Supla::(anonymous namespace)::instance
692	5028	5720	T	Supla::Html::ProtocolParameters::send(Supla::WebSender*)
630	560	1190	T	Supla::Html::WifiParameters::send(Supla::WebSender*)
510	0	510	r	Supla::Html::(anonymous namespace)::kScript
509	0	509	T	Supla::Device::RemoteDeviceConfig::processThermalProtectionConfig(unsigned long long, TDeviceConfig_ThermalProtection*)
483	0	483	T	Supla::Device::RemoteDeviceConfig::processInputActivationConfig(unsigned long long, TDeviceConfig_InputActivation*)
462	0	462	t	(anonymous namespace)::logDeviceCalCfgRequest(int, TSD_DeviceCalCfgRequest const*, char const*, char const*, unsigned int)::__pstr__
438	0	438	t	(anonymous namespace)::logChannelConfigOcrPayload(int, TSD_ChannelConfig const*, char const*, char const*)
402	1544	1946	t	_ZN5Supla8Protocol9SuplaSrpc7iterateEj$part$0
371	0	371	t	Supla::Device::RemoteDeviceConfig::processInputActivationConfig(unsigned long long, TDeviceConfig_InputActivation*)::__pstr__
368	4003	4371	r	styles
368	929	1297	T	Supla::Device::RemoteDeviceConfig::fillSetDeviceConfig(TSDS_SetDeviceConfig*) const
368	0	368	T	Supla::Html::NetworkAddressParameters::handleResponse(char const*, char const*)
357	0	357	W	Supla::isValidStaticNetifConfig(Supla::NetifConfigBlob const&)
356	0	356	t	(anonymous namespace)::logChannelConfigOcrPayload(int, TSD_ChannelConfig const*, char const*, char const*)::__pstr__
346	1469	1815	T	Supla::Device::RemoteDeviceConfig::processConfig(TSDS_SetDeviceConfig*)
346	1038	1384	T	SuplaDeviceClass::handleCalcfgFromServer(TSD_DeviceCalCfgRequest*, TDS_DeviceCalCfgResult*)
346	295	641	W	Supla::ESPWifi::setup()
341	495	836	T	Supla::StateWearLevelingSector::tryLoadPreamblesFrom(unsigned int)
335	0	335	t	(anonymous namespace)::logRegisterDeviceHeader(int, unsigned char const*, unsigned int, char const*, char const*)
334	0	334	t	(anonymous namespace)::logRawHexDump(char const*, int, char const*, unsigned char const*, unsigned int, bool)
331	0	331	T	Supla::Config::loadNetifConfig(char const*, Supla::NetifConfigBlob*)
322	0	322	t	Supla::Html::ProtocolParameters::send(Supla::WebSender*)::{lambda()#1}::operator()() const
315	426	741	t	Supla::StateWearLevelingSector::tryLoadPreamblesFrom(unsigned int)::__pstr__
300	0	300	T	Supla::Html::NetworkAddressParameters::renderField(Supla::WebSender*, char const*, char const*, char const*, char const*, char const*, char const*, bool)
295	0	295	T	Supla::StateWearLevelingByte::isStateEntryAddressValid(Supla::StateEntryAddress const&) const
282	0	282	T	Supla::Protocol::SuplaSrpc::sendPendingCalCfgResultForCommand(short, int, int, int, int, void*)
278	0	278	T	ESP8266WiFiSTAClass::config(IPAddress, IPAddress, IPAddress, IPAddress, IPAddress)
275	0	275	W	Supla::ESPWifi::startConfigModeScan()
263	0	263	t	(anonymous namespace)::logSetChannelConfigRequest(int, TSD_ChannelConfig const*, char const*, char const*, unsigned int)::__pstr__
252	1102	1354	T	SuplaDeviceClass::begin(unsigned char)
243	0	243	t	(anonymous namespace)::escapeLogString(char const*, unsigned int, char*, unsigned int)
240	543	783	T	Supla::WebServer::parsePost(char const*, int, bool)
238	0	238	W	Supla::ESPWifi::iterate()
233	0	233	W	Supla::parseIpv4Address(char const*, unsigned int*)
224	0	224	t	Supla::Protocol::SuplaSrpc::logSrpcPacket(bool, int, unsigned char const*, unsigned int)::__pstr__
221	0	221	W	Supla::parseNetmaskOrPrefix(char const*, unsigned int*)
218	0	218	T	Supla::LittleFsConfig::getMqttCA(char*, int)
212	0	212	t	_ZN5Supla4Html12_GLOBAL__N_121formatWifiScanMessageEPcjPKcb$part$0
212	0	212	t	(anonymous namespace)::logRegisterDeviceHeader(int, unsigned char const*, unsigned int, char const*, char const*)::__pstr__
210	670	880	t	Supla::Protocol::SuplaSrpc::iterate(unsigned int)::__pstr__
208	868	1076	t	Supla::Device::RemoteDeviceConfig::fillSetDeviceConfig(TSDS_SetDeviceConfig*) const::__pstr__
205	1143	1348	t	Supla::Device::RemoteDeviceConfig::processConfig(TSDS_SetDeviceConfig*)::__pstr__
205	0	205	T	ESP8266WiFiScanClass::scanNetworks(bool, bool, unsigned char, unsigned char*)
203	482	685	T	Supla::StateWearLevelingByte::initFromStorage()
202	0	202	t	Supla::Device::RemoteDeviceConfig::processThermalProtectionConfig(unsigned long long, TDeviceConfig_ThermalProtection*)::__pstr__
195	0	195	T	ESP8266WiFiScanClass::_scanDone(void*, int)
192	901	1093	T	Supla::Device::FactoryTest::onInit()
192	365	557	T	Supla::EspWebServer::handlePost(bool)
191	1675	1866	T	Supla::messageReceived(void*, unsigned int, unsigned int, void*, unsigned char)
191	0	191	T	Supla::HtmlOutputBuffer::send(void*, bool (*)(void*, char const*, int), char const*, int)
190	0	190	T	Supla::Html::WifiParameters::logWifiScanResult()
189	0	189	T	Supla::Config::saveNetifConfig(char const*, Supla::NetifConfigBlob const&)
184	0	184	t	Supla::Html::(anonymous namespace)::sendJsString(Supla::WebSender*, char const*)
182	0	182	t	(anonymous namespace)::getDeviceConfigFieldSize(unsigned long long)
181	0	181	t	(anonymous namespace)::logRegisterDeviceChannelChunk(int, TDS_SuplaDeviceChannel_E const*, char const*, char const*, unsigned int)::__pstr__
177	0	177	T	Supla::WebSender::textInput(char const*, char const*, char const*, int, char const*, char const*, char const*)
165	0	165	t	(anonymous namespace)::logRegisterDeviceChannelChunk(int, TDS_SuplaDeviceChannel_D const*, char const*, char const*, unsigned int)::__pstr__
165	0	165	T	Supla::Device::RemoteDeviceConfig::fillThermalProtectionConfig(TDeviceConfig_ThermalProtection*) const
158	0	158	T	Supla::EspSender::flushChunk(void*, char const*, int)
156	0	156	t	Supla::Protocol::SuplaSrpc::sendPendingCalCfgResultForCommand(short, int, int, int, int, void*)::__pstr__
156	0	156	T	Supla::WifiScanResultCache::sortByRssi()
148	0	148	T	Supla::WifiScanResultCache::addOrUpdate(char const*, int, int)
147	0	147	T	Supla::Protocol::CalCfgResultPending::set(short, int, int, unsigned int)
143	0	143	t	Supla::Html::(anonymous namespace)::sendWifiScanHint(Supla::WebSender*, char const*)
143	0	143	T	Supla::LittleFsConfig::setMqttCA(char const*)
142	0	142	T	LwipIntf::ipAddressReorder(IPAddress const&, IPAddress const&, IPAddress const&, IPAddress const&, IPAddress&, IPAddress&, IPAddress&)
138	128	266	T	Supla::StateWearLevelingSector::prepareLoadState()
138	0	138	T	Supla::Wifi::requestConfigModeScanIfDue()
136	0	136	T	Supla::Device::RemoteDeviceConfig::fillInputActivationConfig(TDeviceConfig_InputActivation*) const
127	0	127	T	Supla::StateWearLevelingSector::isSlotValid(unsigned int, unsigned char*)
124	0	124	T	Supla::Element::Element(Supla::ElementMode)
122	0	122	T	Supla::Html::NetworkAddressParameters::ensureLoaded()
120	69	189	T	stringToUInt(char const*, int)
119	0	119	V	Supla::ESPWifi::startConfigModeScan()::__pstr__
117	0	117	T	Supla::Config::isMqttBrokerVerificationEnabled()
116	160	276	T	Supla::WebServer::WebServer(Supla::HtmlGenerator*)
116	0	116	t	(anonymous namespace)::logSubdeviceDetails(int, TDS_SubdeviceDetails const*, char const*, char const*, unsigned int)::__pstr__
115	0	115	T	Supla::Protocol::SuplaSrpc::handlePendingCalCfgTimeouts(unsigned int)
115	0	115	T	Supla::LittleFsConfig::eraseKey(char const*)
112	33	145	t	Supla::StateWearLevelingSector::prepareLoadState()::__pstr__
112	0	112	T	Supla::LittleFsConfig::getMqttCASize()
112	0	112	T	Supla::Channel::setDefault(unsigned int)
110	346	456	t	Supla::LittleFsConfig::init()::__pstr__
109	0	109	r	Supla::Html::(anonymous namespace)::kNetmaskPattern
108	215	323	T	Supla::LittleFsConfig::setBlob(char const*, char const*, unsigned int)
107	46	153	T	Supla::dataWrite(void*, int, void*)
107	0	107	t	Supla::Html::(anonymous namespace)::wifiScanHintClass(char const*)
106	2	108	W	Supla::ESPWifi::disable()
106	0	106	T	Supla::Html::NetworkAddressParameters::onProcessingEnd()
101	0	101	t	(anonymous namespace)::logSetChannelCaptionResult(int, TSCD_SetCaptionResult const*, char const*, char const*, unsigned int)::__pstr__
101	0	101	t	(anonymous namespace)::logDeviceChannelValueChanged(int, TDS_SuplaDeviceChannelValue_C const*, char const*, char const*, unsigned int)::__pstr__
101	0	101	T	Supla::WifiScanResultCache::lookup(char const*, Supla::WifiScanResult*, unsigned int, unsigned int) const
99	0	99	T	hexByteToInt(char const*, unsigned char*)
96	68	164	T	Supla::KeyValueElement::KeyValueElement(char const*)
96	0	96	t	Supla::Config::loadNetifConfig(char const*, Supla::NetifConfigBlob*)::__pstr__
96	0	96	T	Supla::WebSender::sendCsrfField()
95	0	95	t	Supla::dataWrite(void*, int, void*)::__pstr__
95	0	95	T	Supla::redactLogValue(char const*, char const*, char*, unsigned int)
94	51	145	T	Supla::EspSender::~EspSender()
92	335	427	T	SuplaDeviceClass::iterateSwUpdate()
92	0	92	T	Supla::Element::getChannelByChannelNumber(int)
91	0	91	T	Supla::WifiScanResultCache::find(char const*) const
90	0	90	T	Supla::Html::NetworkAddressParameters::matchKey(char const*, char const*) const
87	0	87	T	Supla::StateWearLevelingSector::getPhysicalSlotCount() const
87	0	87	T	Supla::StateWearLevelingSector::getMaxBitmapSlotCount() const
86	0	86	t	(anonymous namespace)::logSetChannelCaption(int, TDCS_SetCaption const*, char const*, char const*, unsigned int)::__pstr__
85	87	172	T	Supla::StateWearLevelingByte::checkIfIsEnoughSpaceForState()
84	395	479	T	Supla::Device::RemoteDeviceConfig::processHomeScreenContentConfig(unsigned long long, TDeviceConfig_HomeScreenContent*)
84	0	84	t	Supla::LittleFsConfig::getMqttCA(char*, int)::__pstr__
83	0	83	T	Supla::Element::setDefaultFunction(unsigned int)
82	0	82	t	Supla::Channel::setDefault(unsigned int)::__pstr__
82	0	82	V	Supla::ESPWifi::iterate()::__pstr__
81	0	81	t	_ZN12_GLOBAL__N_114appendLogTokenEPcjPjPKc$part$0$constprop$0
80	125	205	t	Supla::StateWearLevelingByte::initFromStorage()::__pstr__
80	0	80	r	Supla::Html::(anonymous namespace)::kIpv4Pattern
79	416	495	T	Supla::Modbus::Config::validateAndFix(Supla::Modbus::ConfigProperties const&)
78	399	477	T	Supla::StateStorageInterface::loadPreambles(unsigned int, unsigned short)
78	0	78	t	Supla::Html::(anonymous namespace)::hasFreshWifiScanResults()
77	0	77	T	Supla::StateWearLevelingSector::getPreviousSlotAddress(unsigned int) const
76	352	428	T	SuplaDeviceClass::initSwUpdateInstance(Supla::SwUpdateMode, int)
76	0	76	t	(anonymous namespace)::logRawHexDump(char const*, int, char const*, unsigned char const*, unsigned int, bool)::__pstr__
75	261	336	T	Supla::LittleFsConfig::getBlob(char const*, char*, unsigned int)
74	0	74	t	Supla::Html::NetworkAddressParameters::onProcessingEnd()::__pstr__
72	215	287	T	Supla::Device::RemoteDeviceConfig::fillHomeScreenContentConfig(TDeviceConfig_HomeScreenContent*) const
